ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
147,15067210,CARACOLI AUTOMATICA,LG,HMT,AUT,ACT,LA GUAJIRA,SAN JUAN DEL CESAR,10.9501111,-73.051028,1/12/2011,
148,15067280,JOTOMANA ,LM,HID,CON,ACT,LA GUAJIRA,ALBANIA,10.9077778,-73.004722,1/11/2012,
149,15067290,PORCIOSA ,LM,HID,CON,ACT,LA GUAJIRA,ALBANIA,10.9533333,-73.058056,1/11/2012,
150,15087010,CARRAIPIA    ,LG,HID,CON,ACT,LA GUAJIRA,MAICAO,11.2341111,-72.358806,15/08/1971,
151,15087020,SIPANAO ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1333333,-71.25,15/07/1971,15/02/2002
152,15087030,SHISHIMANA ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1666667,-71.3,15/10/1972,15/05/1982
153,15087040,WATCASAINRU ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1666667,-71.283333,15/11/1972,15/12/1984
154,15087050,NAZARETH ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.1833333,-71.3,15/11/1972,15/02/1981
155,15087060,ALJIBE SANTA CRUZ ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.2166667,-71.333333,15/03/1975,15/02/1981
156,15087070,ANUHAPA ,LM,HID,CON,SUS,LA GUAJIRA,URIBIA,12.2,-71.316667,15/03/1975,15/06/1976
157,15087080,PARAGUACHON    ,LG,HID,CON,ACT,LA GUAJIRA,MAICAO,11.3601389,-72.132444,15/02/1989,
158,15087090,CHINGOLITA LA ,LM,HID,CON,SUS,LA GUAJIRA,MAICAO,11.2980556,-72.191389,15/07/1992,15/10/2010
159,16017010,AGUAS CLARAS ,LG,HID,CON,ACT,NORTE DE SANTANDER,CÚCUTA,8.2336111,-72.417222,15/06/1966,
160,16017040,PASO DE LOS RIOS ,LG,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.0333333,-72.416667,15/10/1983,15/12/1996
161,16017070,OROCUE TAMA ,LM,HID,CON,ACT,NORTE DE SANTANDER,HERRÁN,7.4240833,-72.442194,15/11/1989,
162,16027010,POMARROSOS LOS ,LG,HID,CON,ACT,NORTE DE SANTANDER,SALAZAR,7.7783333,-72.820833,15/02/1985,
163,16027020,IGUANA LA ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.2166667,-72.55,15/02/1985,15/03/2002
164,16027030,K  0+200 ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.0666667,-72.583333,15/10/1980,15/09/2005
165,16027040,K  5+700 ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.0833333,-72.55,15/10/1980,15/05/1990
166,16027050,K  8+000 ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.1,-72.533333,15/10/1980,15/01/1990
167,16027060,PTO LEON ,LG,HID,CON,FSR,NORTE DE SANTANDER,CÚCUTA,8.3502778,-72.434722,15/10/1972,
168,16027070,PAJARITO ,LG,HID,CON,SUS,NORTE DE SANTANDER,EL ZULIA,8.0166667,-72.6,15/11/1959,15/09/1992
169,16027080,FLORENZA ALTO ,LM,HID,CON,SUS,NORTE DE SANTANDER,CÚCUTA,8.15,-72.483333,15/10/1980,15/01/1990
