ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1853,15070100,CARRIZAL    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.0098889,-72.180111,15/07/1971,
1854,15070110,JOJONCITO    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,11.8114444,-71.965306,15/08/1971,
1855,15070120,AHUYAMA ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,11.8660806,-72.278828,15/08/1971,15/10/2010
1856,15070130,PAJARO EL   ,PM,MET,CON,ACT,LA GUAJIRA,MANAURE,11.7094722,-72.676417,15/08/1971,
1857,15070140,MAYAPO ,PM,MET,CON,ACT,LA GUAJIRA,MANAURE,11.6502778,-72.78675,15/08/1971,
1858,15070150,CARACAS HDA   ,PM,MET,CON,ACT,LA GUAJIRA,MANAURE,11.4821389,-72.558972,15/07/1971,
1859,15070160,ESC CEURA   ,PM,MET,CON,ACT,LA GUAJIRA,MAICAO,11.43775,-72.469972,15/06/1971,
1860,15070170,ITACA ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.4333333,-72.55,15/06/1971,15/10/1980
1861,15070190,CAIMITO    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.2691389,-71.512778,15/04/1978,
1862,15070200,TUMAMANA ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,12.3295,-71.751889,15/01/1979,15/10/2010
1863,15070230,GUAYABAL ,PM,MET,CON,SUS,LA GUAJIRA,MAICAO,11.4401111,-72.553778,15/10/1980,28/08/2014
1864,15070240,OROCHON    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,11.8116389,-72.190611,15/06/1976,
1865,15070250,RIOHACHA ,PM,MET,CON,SUS,LA GUAJIRA,RIOHACHA,11.5333333,-72.9,15/08/1931,15/09/1971
1866,15075010,BAHIA HONDA ,CO,MET,CON,SUS,LA GUAJIRA,URIBIA,12.3138861,-71.796447,15/08/1971,15/08/1986
1867,15075020,CABO DE LA VELA ,CO,MET,CON,SUS,LA GUAJIRA,URIBIA,12.2166667,-72.183333,15/08/1971,15/02/1977
1868,15075030,MANAURE    ,CP,MET,CON,ACT,LA GUAJIRA,MANAURE,11.7810556,-72.4635,15/01/1940,
1869,15075040,URIBIA ,CO,MET,CON,SUS,LA GUAJIRA,URIBIA,11.7166667,-72.266667,15/01/1958,15/09/1978
1870,15075050,PIZARRA LA ,CO,MET,CON,SUS,LA GUAJIRA,SAN JUAN DEL CESAR,10.7666667,-73,15/04/1971,15/09/1975
1871,15075060,PTO BOLIVAR   ,CP,MET,CON,ACT,LA GUAJIRA,URIBIA,12.2243056,-71.982889,15/10/1986,
1872,15075150,PAICI AUTOMATICA ,AM,MET,AUT,ACT,LA GUAJIRA,URIBIA,11.5949444,-72.32575,14/10/2004,
1873,15075501,APTO PTO BOLIVAR AUTO ,CP,MET,AUT,ACT,LA GUAJIRA,URIBIA,12.2243056,-71.982889,21/08/2014,
1874,15079010,PTO BOLIVAR AUTOMATICA ,MM,HID,AUT,ACT,LA GUAJIRA,URIBIA,12.2242778,-71.967667,16/04/2005,
1875,15080010,PTO ESTRELLA   ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.3453056,-71.311972,15/07/1971,
1876,15080020,SIPANAO ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,12.1193611,-71.268694,15/07/1971,28/08/2014
